assessment_id,student_id,course_id,enrollment_date,completion_date,completion_status,score,time_spent_hours,quiz_attempts,certificate_issued,feedback_rating,last_activity_date
ASS0000037,STU00336,CRS0031,2022-04-13,2022-04-22,In Progress,31.8,20.6,5,False,3,2022-07-10
ASS0000038,STU00300,CRS0020,2023-08-03,2023-09-13,Not Started,16.9,5.7,2,False,4,2023-09-07
ASS0000039,STU00431,CRS0047,2022-05-18,2022-06-30,Not Started,46.3,18.3,3,False,5,2022-05-31
ASS0000040,STU00090,CRS0083,2023-09-14,,Dropped,85.9,5.3,5,True,3,2023-12-03
ASS0000041,STU00040,CRS0094,2022-03-19,2022-05-23,Completed,81.3,12.4,5,True,1,2022-05-28
ASS0000042,STU00134,CRS0070,2023-07-07,2023-07-27,Dropped,39.2,17.9,5,False,3,2023-07-24
ASS0000043,STU00238,CRS0065,2023-06-07,,Dropped,50.2,12.8,5,False,2,2023-08-11
ASS0000044,STU00072,CRS0058,2022-06-13,,In Progress,73.6,27.8,3,True,2,2022-08-14
ASS0000045,STU00119,CRS0009,2022-09-28,2022-10-04,In Progress,51.8,11.2,4,False,4,2022-10-03
ASS0000046,STU00021,CRS0084,2022-11-28,,Dropped,83.5,2.2,5,False,2,2023-01-15
ASS0000047,STU00335,CRS0049,2023-01-10,2023-01-20,Dropped,37.6,52.7,5,False,3,2023-02-23
ASS0000048,STU00250,CRS0062,2023-09-11,,In Progress,44.0,13.0,5,False,3,2023-10-08
ASS0000049,STU00077,CRS0024,2022-06-11,2022-06-27,In Progress,41.5,14.2,1,False,4,2022-08-11
ASS0000050,STU00108,CRS0076,2022-06-15,2022-08-07,Completed,24.4,3.8,5,True,2,2022-09-03
ASS0000051,STU00263,CRS0006,2023-08-10,,In Progress,25.8,4.4,4,False,5,2023-10-30
ASS0000052,STU00010,CRS0093,2023-11-09,2023-11-20,In Progress,44.9,59.6,4,True,2,2023-12-31
ASS0000053,STU00308,CRS0019,2023-08-20,2023-09-13,Dropped,16.8,18.7,4,False,5,2023-08-28
ASS0000054,STU00118,CRS0049,2023-01-30,,Completed,20.2,49.9,5,False,4,2023-02-18
ASS0000055,STU00311,CRS0013,2022-07-01,2022-09-18,Completed,87.8,15.1,1,True,4,2022-09-23
ASS0000056,STU00067,CRS0078,2023-07-07,2023-10-02,Not Started,52.2,14.4,1,False,5,2023-08-30
ASS0000057,STU00118,CRS0062,2023-01-26,2023-04-26,Completed,42.5,14.4,2,True,3,2023-04-12
ASS0000058,STU00449,CRS0070,2023-02-23,2023-02-24,Completed,57.8,2.8,1,False,2,2023-05-22
ASS0000059,STU00412,CRS0041,2023-02-23,2023-03-15,Not Started,65.2,6.2,5,False,5,2023-04-10
ASS0000060,STU00314,CRS0036,2023-11-28,2023-12-25,Not Started,55.2,26.4,2,False,5,2024-02-07
ASS0000061,STU00248,CRS0033,2022-11-11,2023-01-01,In Progress,85.5,31.8,2,False,2,2022-11-23
ASS0000062,STU00110,CRS0066,2023-02-15,2023-04-27,Completed,16.1,43.4,1,True,2,2023-04-16
ASS0000063,STU00475,CRS0077,2023-03-22,,Dropped,22.2,2.5,1,False,4,2023-05-12
ASS0000064,STU00315,CRS0084,2023-06-18,2023-09-03,Completed,94.6,5.8,4,False,1,2023-07-13
ASS0000065,STU00436,CRS0085,2023-06-15,2023-06-20,In Progress,61.5,40.6,3,True,1,2023-07-05
ASS0000066,STU00045,CRS0036,2023-02-14,2023-04-06,Not Started,58.6,24.6,1,True,5,2023-03-22
ASS0000067,STU00372,CRS0072,2023-08-20,2023-09-25,In Progress,60.6,4.1,4,False,1,2023-09-22
ASS0000068,STU00090,CRS0053,2023-06-03,,Completed,50.3,9.2,1,False,3,2023-08-10
ASS0000069,STU00417,CRS0074,2022-09-14,2022-11-02,Not Started,77.0,32.7,4,False,4,2022-11-28
ASS0000070,STU00442,CRS0004,2023-05-09,,Completed,38.3,21.4,2,False,2,2023-06-18
ASS0000071,STU00212,CRS0046,2023-06-13,2023-09-11,Dropped,24.8,3.5,3,True,5,2023-07-05
ASS0000072,STU00244,CRS0041,2022-12-29,2023-03-13,Dropped,18.3,17.3,2,False,2,2023-01-28
ASS0000073,STU00377,CRS0031,2022-09-29,2022-10-25,In Progress,83.6,16.3,1,True,1,2022-12-24
ASS0000074,STU00490,CRS0085,2023-05-20,2023-07-29,Completed,84.8,22.6,3,False,5,2023-06-24
ASS0000075,STU00252,CRS0024,2023-06-08,2023-07-07,In Progress,5.4,33.7,4,False,1,2023-08-11
ASS0000076,STU00178,CRS0051,2022-06-28,2022-07-14,Not Started,31.6,0.8,2,False,5,2022-07-10
ASS0000077,STU00167,CRS0047,2023-09-20,2023-10-14,Dropped,23.7,23.8,5,False,3,2023-10-13
ASS0000078,STU00256,CRS0055,2022-08-04,2022-09-21,Dropped,85.4,10.1,2,False,2,2022-10-16
ASS0000079,STU00352,CRS0030,2022-04-13,2022-05-14,Not Started,85.6,7.5,2,False,1,2022-05-05
ASS0000080,STU00216,CRS0064,2022-05-18,2022-08-07,Dropped,78.5,16.0,5,False,1,2022-07-07
ASS0000081,STU00051,CRS0089,2022-06-17,,Dropped,47.7,12.8,4,False,3,2022-07-20
ASS0000082,STU00185,CRS0047,2023-07-28,2023-08-30,Dropped,2.0,6.5,5,True,5,2023-10-09
ASS0000083,STU00333,CRS0084,2023-07-06,,Dropped,35.5,4.9,4,False,4,2023-07-16
ASS0000084,STU00196,CRS0079,2022-10-21,2022-11-09,In Progress,64.1,45.5,4,False,5,2023-01-02
ASS0000085,STU00208,CRS0010,2022-03-23,,In Progress,31.3,24.3,3,False,4,2022-04-26
ASS0000086,STU00455,CRS0057,2023-01-07,2023-03-15,Not Started,41.4,10.7,1,True,2,2023-04-01
ASS0000087,STU00129,CRS0096,2022-03-23,2022-05-13,Completed,9.6,52.5,4,False,1,2022-03-26
ASS0000088,STU00395,CRS0051,2023-06-21,2023-07-02,Completed,26.2,6.0,4,False,2,2023-07-22
ASS0000089,STU00378,CRS0037,2023-03-30,2023-04-16,In Progress,2.9,14.1,3,False,4,2023-06-07
ASS0000090,STU00479,CRS0035,2023-07-16,2023-10-14,In Progress,59.1,27.7,5,False,5,2023-10-05
ASS0000091,STU00328,CRS0069,2022-11-14,2023-01-15,In Progress,80.5,26.8,3,False,3,2022-12-03
ASS0000092,STU00156,CRS0002,2022-01-01,2022-01-19,Dropped,28.7,9.9,4,False,3,2022-01-02
ASS0000093,STU00393,CRS0056,2022-10-27,2022-10-28,Dropped,18.9,9.8,4,False,2,2022-11-16
ASS0000094,STU00367,CRS0095,2023-10-24,2023-12-12,In Progress,26.3,10.8,2,False,5,2024-01-20
ASS0000095,STU00351,CRS0035,2022-10-19,2022-12-27,Dropped,41.3,51.3,2,True,3,2022-11-02
ASS0000096,STU00327,CRS0059,2023-09-25,2023-12-24,Not Started,18.8,1.6,1,False,1,2023-10-18
ASS0000097,STU00498,CRS0014,2022-10-16,2022-12-12,Completed,23.3,1.6,4,True,3,2022-12-08
ASS0000098,STU00160,CRS0064,2023-01-16,2023-01-21,Dropped,8.0,39.2,2,True,3,2023-03-07
ASS0000099,STU00037,CRS0070,2023-04-27,,Dropped,81.7,16.7,1,False,2,2023-06-15
ASS0000100,STU00395,CRS0057,2022-09-11,2022-09-16,In Progress,46.1,43.3,5,False,2,2022-11-10
ASS0000101,STU00200,CRS0088,2022-11-16,2022-12-07,Completed,74.5,27.2,1,False,4,2023-02-05
ASS0000102,STU00153,CRS0026,2023-01-05,2023-04-01,In Progress,97.3,11.5,4,False,1,2023-01-26
ASS0000103,STU00407,CRS0036,2023-08-22,,In Progress,0.9,2.5,4,False,5,2023-09-10
ASS0000104,STU00191,CRS0099,2022-04-02,2022-06-05,Completed,68.6,4.7,1,True,3,2022-06-23
ASS0000105,STU00079,CRS0090,2023-07-04,2023-07-21,Not Started,23.3,33.4,3,False,2,2023-07-06
ASS0000106,STU00353,CRS0049,2023-01-02,2023-02-04,Completed,48.5,25.7,3,False,4,2023-01-26
ASS0000107,STU00291,CRS0024,2023-07-11,2023-09-09,Dropped,86.8,25.3,5,True,1,2023-09-16
ASS0000108,STU00080,CRS0058,2022-10-30,2023-01-08,Dropped,45.4,44.3,5,False,2,2022-11-01
ASS0000109,STU00318,CRS0047,2023-09-28,2023-10-07,Not Started,19.0,34.3,5,True,5,2023-11-03
ASS0000110,STU00166,CRS0053,2023-10-19,2023-11-01,Completed,4.4,24.4,2,True,2,2023-11-01
ASS0000111,STU00249,CRS0025,2022-04-12,,Not Started,65.8,16.0,5,False,1,2022-05-28
ASS0000112,STU00114,CRS0078,2022-03-14,,In Progress,65.6,35.3,1,False,1,2022-04-29
ASS0000113,STU00286,CRS0096,2023-03-02,2023-03-10,Dropped,52.9,41.3,3,True,2,2023-05-07
ASS0000114,STU00050,CRS0013,2022-08-25,2022-09-19,In Progress,52.6,7.3,2,False,5,2022-10-17
ASS0000115,STU00383,CRS0014,2023-10-16,2024-01-11,Not Started,70.3,3.7,1,True,2,2023-12-25
ASS0000116,STU00206,CRS0065,2022-12-12,2023-02-19,Not Started,93.4,17.2,5,False,3,2023-02-02
ASS0000117,STU00392,CRS0082,2023-03-17,2023-04-28,In Progress,56.3,6.0,5,False,3,2023-05-02
ASS0000118,STU00493,CRS0058,2023-04-04,2023-04-05,Completed,98.3,34.2,5,True,3,2023-04-04
ASS0000119,STU00154,CRS0029,2022-08-08,2022-08-11,Dropped,91.9,6.4,5,False,2,2022-08-20
ASS0000120,STU00020,CRS0059,2022-12-31,,Dropped,36.7,32.8,2,False,3,2023-01-11
ASS0000121,STU00293,CRS0052,2023-08-06,2023-08-16,Dropped,79.3,8.4,5,True,5,2023-10-27
ASS0000122,STU00154,CRS0005,2023-08-14,2023-08-22,Dropped,34.8,49.1,4,True,2,2023-11-05
ASS0000123,STU00435,CRS0078,2022-01-12,2022-04-03,Not Started,5.4,20.2,3,False,5,2022-01-31
ASS0000124,STU00168,CRS0065,2022-08-15,,Not Started,97.1,14.4,5,False,1,2022-09-12
ASS0000125,STU00222,CRS0038,2023-02-08,,Dropped,8.3,21.4,1,False,4,2023-03-13
ASS0000126,STU00044,CRS0052,2023-05-29,2023-08-27,In Progress,76.2,22.4,2,False,4,2023-08-20
ASS0000127,STU00293,CRS0026,2023-07-29,2023-10-05,In Progress,24.2,12.9,4,False,5,2023-08-09
ASS0000128,STU00058,CRS0086,2023-02-28,2023-04-14,In Progress,32.1,15.6,1,False,2,2023-04-13
ASS0000129,STU00316,CRS0057,2023-10-01,,Completed,92.4,13.5,3,True,1,2023-10-15
ASS0000130,STU00379,CRS0007,2022-09-06,2022-09-25,Dropped,1.4,35.5,1,False,4,2022-11-05
ASS0000131,STU00012,CRS0043,2022-08-03,2022-08-31,In Progress,54.6,26.4,5,False,5,2022-08-21
ASS0000132,STU00356,CRS0090,2023-11-16,,Completed,25.5,2.5,2,False,5,2023-12-20
ASS0000133,STU00028,CRS0060,2023-11-02,2023-11-11,Not Started,66.0,27.4,3,True,1,2023-12-09
ASS0000134,STU00445,CRS0084,2023-01-31,2023-03-21,Completed,90.4,3.7,5,False,1,2023-02-23
ASS0000135,STU00102,CRS0065,2023-04-14,2023-04-17,Completed,24.7,10.3,3,False,4,2023-05-04
ASS0000136,STU00010,CRS0045,2023-12-02,2024-02-21,Dropped,23.6,12.7,5,False,1,2024-02-20
ASS0000137,STU00132,CRS0050,2022-01-31,2022-03-08,In Progress,15.2,47.6,2,True,4,2022-04-07
ASS0000138,STU00492,CRS0087,2023-09-20,2023-12-17,In Progress,41.7,5.4,4,False,5,2023-11-01
ASS0000139,STU00230,CRS0070,2022-05-15,2022-06-02,In Progress,86.3,6.5,5,True,4,2022-06-02
ASS0000140,STU00336,CRS0073,2022-06-11,2022-08-22,Completed,18.4,41.2,2,False,1,2022-07-21
ASS0000141,STU00451,CRS0053,2023-02-26,2023-05-19,Dropped,15.2,5.3,2,True,1,2023-05-15
ASS0000142,STU00316,CRS0035,2023-09-13,2023-10-13,In Progress,23.1,2.1,1,False,4,2023-09-30
ASS0000143,STU00258,CRS0078,2023-04-26,2023-06-13,In Progress,85.2,18.9,2,True,2,2023-05-24
ASS0000144,STU00017,CRS0053,2022-01-16,2022-03-10,In Progress,74.2,25.7,2,True,2,2022-03-13
ASS0000145,STU00444,CRS0079,2023-05-17,2023-07-15,In Progress,42.8,38.1,5,False,4,2023-06-26
ASS0000146,STU00202,CRS0079,2023-08-09,2023-10-16,Completed,52.1,22.4,1,True,5,2023-10-16
ASS0000147,STU00203,CRS0095,2022-02-10,2022-04-18,Completed,19.0,11.3,3,False,4,2022-03-03
ASS0000148,STU00217,CRS0038,2023-09-20,2023-12-18,In Progress,46.4,24.1,1,False,5,2023-10-04
ASS0000149,STU00093,CRS0100,2023-08-23,2023-11-21,In Progress,39.3,9.4,1,True,4,2023-11-06
ASS0000150,STU00460,CRS0092,2022-07-26,2022-08-07,Dropped,32.4,13.1,2,False,1,2022-08-06
ASS0000151,STU00059,CRS0091,2023-04-06,2023-04-17,Not Started,72.7,41.0,5,True,4,2023-06-15
ASS0000152,STU00195,CRS0006,2022-06-24,2022-09-05,In Progress,16.2,3.6,1,False,3,2022-08-02
ASS0000153,STU00374,CRS0099,2023-04-02,2023-04-26,Completed,89.9,12.5,1,False,3,2023-04-03
ASS0000154,STU00235,CRS0064,2023-05-26,2023-05-27,Not Started,23.8,30.8,4,False,4,2023-07-21
ASS0000155,STU00041,CRS0077,2023-09-07,,Dropped,62.0,14.2,2,True,2,2023-09-25
ASS0000156,STU00029,CRS0084,2022-12-24,,Completed,66.7,5.9,3,False,1,2022-12-30
ASS0000157,STU00056,CRS0054,2022-07-02,,Dropped,61.1,32.0,5,False,5,2022-07-24
ASS0000158,STU00495,CRS0059,2023-08-16,2023-08-21,Completed,76.9,18.4,4,True,4,2023-10-25
ASS0000159,STU00034,CRS0038,2023-04-28,,Dropped,32.9,15.6,2,False,2,2023-07-15
ASS0000160,STU00030,CRS0014,2023-08-09,2023-10-29,Completed,48.4,5.7,3,False,5,2023-09-18
ASS0000161,STU00133,CRS0068,2023-08-12,2023-09-27,In Progress,61.4,12.2,4,False,2,2023-10-29
ASS0000162,STU00120,CRS0091,2022-10-25,2022-10-26,Completed,2.4,26.5,1,False,2,2023-01-11
ASS0000163,STU00213,CRS0053,2022-02-16,2022-04-29,In Progress,1.1,5.6,3,False,1,2022-03-27
ASS0000164,STU00154,CRS0065,2023-07-18,2023-07-19,Completed,68.6,6.8,5,False,1,2023-08-09
ASS0000165,STU00100,CRS0043,2022-12-13,2023-02-13,Not Started,79.7,22.8,4,True,4,2023-02-19
ASS0000166,STU00459,CRS0043,2023-04-19,2023-06-11,Completed,83.5,10.8,3,False,5,2023-04-21
ASS0000167,STU00107,CRS0074,2022-12-06,2023-01-21,Completed,97.0,12.4,1,False,4,2023-02-24
ASS0000168,STU00274,CRS0022,2023-08-08,2023-09-01,Completed,86.5,45.2,3,False,1,2023-09-11
ASS0000169,STU00212,CRS0012,2023-05-24,2023-07-11,Not Started,82.9,10.0,5,False,2,2023-06-07
ASS0000170,STU00192,CRS0005,2022-07-26,2022-09-21,Completed,79.9,54.3,2,True,3,2022-09-25
ASS0000171,STU00376,CRS0068,2022-11-14,2022-12-03,Completed,82.2,22.5,2,True,1,2023-01-11
ASS0000172,STU00199,CRS0092,2023-06-19,,Dropped,93.2,13.9,5,True,3,2023-08-17
ASS0000173,STU00456,CRS0006,2022-04-16,2022-07-10,Dropped,2.2,16.8,2,False,2,2022-05-10
ASS0000174,STU00147,CRS0036,2023-06-30,2023-08-26,Completed,27.3,7.8,1,True,5,2023-09-09
ASS0000175,STU00264,CRS0014,2022-07-31,2022-10-10,Dropped,27.1,7.6,3,False,2,2022-08-21
ASS0000176,STU00037,CRS0040,2023-09-20,2023-11-29,Not Started,5.1,1.9,1,True,4,2023-09-26
ASS0000177,STU00045,CRS0055,2023-02-06,,Not Started,61.6,11.3,2,False,5,2023-02-16
ASS0000178,STU00499,CRS0097,2023-04-22,2023-05-04,Not Started,9.7,9.0,4,False,2,2023-05-20
ASS0000179,STU00074,CRS0079,2022-09-22,2022-11-12,In Progress,70.0,32.8,3,False,4,2022-09-25
ASS0000180,STU00034,CRS0061,2022-04-26,2022-06-25,In Progress,28.2,8.0,5,True,5,2022-05-09
ASS0000181,STU00208,CRS0092,2022-04-20,2022-07-13,Completed,79.2,10.9,4,False,4,2022-05-20
ASS0000182,STU00318,CRS0032,2023-07-16,,Not Started,38.4,13.6,5,False,4,2023-09-26
ASS0000183,STU00404,CRS0044,2023-07-12,2023-08-04,Completed,73.9,37.9,4,True,5,2023-09-26
ASS0000184,STU00238,CRS0042,2023-07-23,,Not Started,17.6,35.4,1,False,1,2023-10-18
ASS0000185,STU00417,CRS0077,2023-01-24,2023-04-17,Completed,9.1,20.5,5,False,1,2023-02-11
ASS0000186,STU00339,CRS0020,2023-04-09,2023-05-29,Not Started,19.6,11.7,3,False,5,2023-07-04
ASS0000187,STU00156,CRS0056,2022-12-19,2023-03-04,Completed,61.1,5.9,2,False,1,2023-02-04
ASS0000188,STU00462,CRS0071,2022-02-24,,Dropped,11.0,14.5,1,True,4,2022-05-24
ASS0000189,STU00303,CRS0051,2023-10-03,2023-11-21,Not Started,38.2,19.9,2,False,2,2023-10-27
ASS0000190,STU00285,CRS0050,2023-01-04,2023-01-24,Dropped,99.7,35.7,2,True,1,2023-03-27
ASS0000191,STU00009,CRS0019,2023-05-14,2023-06-01,Completed,13.7,21.9,4,False,5,2023-07-07
ASS0000192,STU00320,CRS0024,2023-04-11,2023-06-21,Not Started,38.5,9.9,4,False,1,2023-06-23
ASS0000193,STU00256,CRS0094,2022-08-31,2022-10-05,Not Started,92.7,12.3,1,True,5,2022-10-31
ASS0000194,STU00361,CRS0048,2022-04-26,2022-07-24,Completed,14.2,36.0,3,False,5,2022-05-06
ASS0000195,STU00268,CRS0079,2022-04-01,2022-06-21,Completed,68.4,26.7,5,False,5,2022-04-07
ASS0000196,STU00463,CRS0044,2023-07-02,2023-09-01,Not Started,51.3,25.1,3,False,3,2023-08-08
ASS0000197,STU00149,CRS0022,2022-02-06,2022-04-24,Dropped,72.7,34.0,1,False,4,2022-04-21
ASS0000198,STU00087,CRS0074,2022-02-22,2022-04-01,Completed,28.7,4.0,5,True,3,2022-03-26
ASS0000199,STU00068,CRS0079,2022-10-15,2022-11-17,Completed,74.1,29.8,5,False,2,2023-01-07
ASS0000200,STU00229,CRS0048,2022-06-29,2022-09-27,In Progress,48.5,39.3,1,False,1,2022-07-17
ASS0000201,STU00305,CRS0020,2023-05-23,2023-07-15,Not Started,23.8,7.8,2,True,5,2023-07-06
ASS0000202,STU00028,CRS0083,2022-09-28,2022-10-13,Completed,16.8,14.3,3,False,5,2022-10-27
ASS0000203,STU00195,CRS0088,2023-02-04,2023-02-23,Not Started,1.2,45.5,4,False,3,2023-04-12
ASS0000204,STU00350,CRS0006,2022-04-10,2022-07-01,Dropped,95.6,9.8,3,False,3,2022-05-14
ASS0000205,STU00411,CRS0013,2022-09-19,2022-11-09,Not Started,77.3,21.1,5,True,5,2022-11-01
ASS0000206,STU00347,CRS0089,2022-07-04,2022-07-06,Completed,83.2,0.7,1,False,1,2022-09-29
ASS0000207,STU00229,CRS0045,2022-08-13,2022-09-15,In Progress,3.4,8.2,1,False,2,2022-10-28
ASS0000208,STU00327,CRS0016,2022-05-03,,In Progress,37.6,29.1,5,True,1,2022-07-31
ASS0000209,STU00095,CRS0033,2022-10-29,2022-11-08,Not Started,92.3,13.6,4,False,3,2022-11-30
ASS0000210,STU00083,CRS0100,2022-03-17,2022-03-25,Not Started,38.9,27.9,3,False,2,2022-05-12
ASS0000211,STU00036,CRS0063,2022-07-25,2022-08-17,Not Started,10.8,28.3,4,True,5,2022-10-15
ASS0000212,STU00055,CRS0057,2022-09-23,,Completed,7.0,40.9,4,True,4,2022-10-12
ASS0000213,STU00335,CRS0082,2022-01-01,2022-03-28,Not Started,26.6,18.4,4,False,1,2022-03-07
ASS0000214,STU00363,CRS0099,2023-05-18,2023-07-09,Completed,54.0,0.5,4,True,5,2023-07-25
ASS0000215,STU00479,CRS0046,2022-12-08,2023-01-29,Completed,63.2,31.7,1,False,5,2023-01-20
ASS0000216,STU00042,CRS0059,2022-10-24,2022-11-16,Completed,96.8,37.2,3,False,4,2022-11-06
ASS0000217,STU00323,CRS0089,2023-01-03,2023-03-25,Not Started,73.5,3.2,2,True,5,2023-02-02
ASS0000218,STU00251,CRS0050,2022-03-06,2022-05-28,Dropped,50.0,51.2,4,True,1,2022-04-18
ASS0000219,STU00029,CRS0044,2022-02-13,2022-03-13,Not Started,94.0,46.2,5,True,5,2022-03-14
ASS0000220,STU00474,CRS0010,2022-02-07,2022-04-11,Completed,47.1,34.0,1,True,2,2022-02-08
ASS0000221,STU00089,CRS0081,2022-02-21,2022-03-06,Not Started,61.1,29.3,1,True,1,2022-04-25
ASS0000222,STU00305,CRS0079,2022-08-14,,In Progress,42.6,39.9,4,False,1,2022-11-09
ASS0000223,STU00295,CRS0070,2022-05-21,2022-06-18,Completed,59.3,7.0,1,False,2,2022-07-13
ASS0000224,STU00087,CRS0090,2023-01-14,2023-03-12,In Progress,92.6,1.9,1,False,5,2023-03-03
ASS0000225,STU00399,CRS0021,2022-01-17,2022-01-28,Completed,0.7,10.2,5,False,4,2022-04-15
ASS0000226,STU00414,CRS0099,2023-05-03,2023-05-30,In Progress,64.0,7.0,4,True,2,2023-07-20
ASS0000227,STU00355,CRS0005,2023-09-03,,Not Started,61.2,5.7,3,False,4,2023-09-03
ASS0000228,STU00286,CRS0031,2022-07-16,,Completed,61.9,38.9,5,False,2,2022-09-13
ASS0000229,STU00395,CRS0081,2023-11-07,2023-11-14,In Progress,11.3,5.6,4,False,2,2023-11-27
ASS0000230,STU00344,CRS0006,2022-02-25,2022-04-03,In Progress,43.5,7.7,4,True,1,2022-03-03
ASS0000231,STU00474,CRS0069,2022-06-30,,Completed,48.5,7.4,2,False,4,2022-09-13
ASS0000232,STU00297,CRS0042,2023-03-06,,Dropped,23.0,4.5,2,True,2,2023-04-27
ASS0000233,STU00446,CRS0026,2023-01-20,2023-01-30,Not Started,58.5,3.0,4,True,2,2023-04-08
ASS0000234,STU00233,CRS0023,2023-02-01,2023-04-01,In Progress,63.2,45.9,2,False,2,2023-02-05
ASS0000235,STU00355,CRS0073,2022-03-03,2022-03-18,Not Started,45.9,8.8,3,True,3,2022-05-19
ASS0000236,STU00081,CRS0082,2023-09-19,2023-12-02,In Progress,8.6,22.4,4,True,5,2023-11-18
ASS0000237,STU00429,CRS0060,2022-10-13,,Not Started,73.6,10.5,3,False,5,2022-11-10
ASS0000238,STU00457,CRS0076,2022-06-02,2022-06-03,Not Started,98.0,1.5,4,False,5,2022-06-06
ASS0000239,STU00218,CRS0068,2023-02-08,2023-05-09,Completed,45.2,6.2,5,True,4,2023-03-07
ASS0000240,STU00068,CRS0046,2022-10-30,2022-11-11,Completed,48.0,10.4,4,False,5,2022-11-02
ASS0000241,STU00500,CRS0059,2023-04-20,2023-06-11,In Progress,79.0,21.1,4,False,1,2023-07-09
ASS0000242,STU00037,CRS0050,2022-12-07,2023-01-14,Not Started,75.3,37.1,5,False,5,2023-01-02
ASS0000243,STU00404,CRS0088,2022-03-24,2022-05-06,Completed,51.5,44.6,3,True,1,2022-05-12
ASS0000244,STU00188,CRS0060,2023-09-26,,Dropped,17.5,23.1,1,False,2,2023-10-13
ASS0000245,STU00172,CRS0031,2023-07-07,,Not Started,73.7,34.0,2,False,2,2023-08-17
